"TX_ROOM_TEMPERATURE","MULTIPLEXER_I_CN","MULTIPLEXER_I_Eb-No","MULTIPLEXER_I_LINK_MARGIN","MULTIPLEXER_I_BITRATE","TRANSCODER_BITRATE","PA1_DC","PA2_DC","PA3_DC","PA4_DC","PA5_DC","PA6_DC","PA7_DC","PA8_DC","PA9_DC","PA10_DC","PA11_DC","PA12_DC","PA13_DC","PA14_DC","PA15_DC","PA16_DC","PA17_DC","PA18_DC","TX_ROOM_HUMIDITY","EXCITER_A_MER","EXCITER_B_MER","TRANSMITTER_FWD_POWER","TRANSMITTER_REFLECTED_POWER","PA1_FWD_POWER","PA1_TEMP","PA2_FWD_POWER","PA2_TEMP","PA3_FWD_POWER","PA3_TEMP","PA4_FWD_POWER","PA4_TEMP","PA5_FWD_POWER","PA5_TEMP","PA6_FWD_POWER","PA6_TEMP","PA7_FWD_POWER","PA7_TEMP","PA8_FWD_POWER","PA8_TEMP","PA9_FWD_POWER","PA9_TEMP","PA10_FWD_POWER","PA10_TEMP","PA11_FWD_POWER","PA11_TEMP","PA12_FWD_POWER","PA12_TEMP","PA13_FWD_POWER","PA13_TEMP","PA14_FWD_POWER","PA14_TEMP","PA15_FWD_POWER","PA15_TEMP","PA16_FWD_POWER","PA16_TEMP","PA17_FWD_POWER","PA17_TEMP","PA18_FWD_POWER","PA18_TEMP","Timestamp"
21.9,16.39,13.88,10.89,27.51,27.48,43.49,43.12,43.47,43.49,43.45,43.56,43.48,43.47,43.51,43.46,43.45,43.43,43.46,43.42,43.62,43.61,43.57,43.57,35,39,36,17901,38,888.8,47,1066.4,47,801,46,1040.3,46,1018.7,47,833.5,45,889.9,46,756.4,46,1071.5,47,950.1,46,1065.1,47,1031.4,47,1072.8,47,1063.7,47,901.8,47,946.9,47,847.2,47,1075.1,48,"2025-07-23T03:30"
21.9,16.39,13.88,10.89,27.47,27.48,43.52,43.44,43.49,43.5,43.46,43.56,43.49,43.46,43.5,43.49,43.44,43.44,43.48,43.42,43.61,43.49,43.59,43.57,35,39,36,16888,35,810.7,49,1075.6,50,740.1,49,963.6,49,955,49,767.8,47,837.5,49,686.1,48,1066.9,49,901,48,1056,49,950.5,49,984.9,49,1066.4,49,846.5,49,869.6,49,798,49,1062.8,50,"2025-07-23T04:15"
21.9,16.38,13.87,10.88,27.46,27.48,43.51,43.02,43.48,43.49,43.5,43.57,43.49,43.46,43.51,43.52,43.47,43.46,43.45,43.46,43.63,43.53,43.58,43.56,38,39,36,18011,38,905.3,46,1068.7,46,801,46,1048.3,46,1021.8,47,833.5,44,891.1,46,764.5,45,1065.1,46,967.3,45,1071.9,46,1031,46,1069.2,46,1064.1,46,912.3,46,934.8,46,859.2,47,1070.1,48,"2025-07-23T04:30"
21.9,16.34,13.83,10.84,27.5,27.45,43.58,43.45,43.49,43.51,43.45,43.56,43.48,43.48,43.55,43.52,43.43,43.47,43.47,43.43,43.62,43.58,43.59,43.55,41,39,36,17062,35,824,48,1073.7,50,747.4,48,972.3,48,960.7,49,774.1,47,832.8,48,704.6,47,1065.5,49,893.7,47,1072.4,48,964,48,1004.9,48,1065.1,48,857,48,876.7,48,806.9,49,1074.2,50,"2025-07-23T04:45"
21.7,16.35,13.84,10.85,27.52,27.44,43.54,43.01,43.48,43.53,43.48,43.57,43.48,43.46,43.56,43.47,43.47,43.46,43.45,43.43,43.62,43.67,43.59,43.54,43,39,36,18139,38,922.9,46,1062.8,46,811,45,1057.8,45,1037.6,46,845.7,44,901,45,777.4,45,1061,46,983.6,45,1065.5,45,1043.9,46,1064.1,46,1072.8,46,921.3,46,939.6,46,864.4,46,1064.1,47,"2025-07-23T05:00"
20.9,16.31,13.8,10.81,27.47,27.43,43.55,43.05,43.45,43.48,43.47,43.57,43.48,43.47,43.53,43.52,43.41,43.43,43.46,43.44,43.64,43.5,43.62,43.56,36,39,36,18101,39,922.9,46,1073.3,46,800.7,46,1048.8,46,1022.2,46,837.8,44,893.7,46,768.5,45,1072.4,46,982.8,45,1062.8,46,1036.3,46,1072.8,46,1074.7,46,917.7,46,935.2,46,866.3,47,1070.1,47,"2025-07-23T05:30"
21.3,16.34,13.83,10.84,27.49,27.46,43.59,43.43,43.47,43.52,43.49,43.56,43.49,43.47,43.54,43.5,43.43,43.44,43.46,43.39,43.64,43.57,43.59,43.55,44,39,36,16962,35,811.4,49,1065.5,50,741,49,957.9,48,953.4,49,765.5,47,837.8,49,686.4,48,1060.5,49,899.1,48,1063.7,49,953.8,49,994.2,49,1058.7,49,852.3,49,874.1,49,806.2,49,1069.2,50,"2025-07-23T05:45"
21.6,16.35,13.84,10.85,27.49,27.51,43.59,43.05,43.49,43.51,43.46,43.56,43.49,43.46,43.54,43.46,43.45,43.44,43.47,43.42,43.62,43.68,43.59,43.58,43,39,36,18103,38,915,46,1064.6,46,799.7,46,1044.7,46,1021.8,47,835.7,44,891.8,46,765.2,45,1075.1,46,971.5,45,1063.2,46,1030.5,46,1069.6,46,1070.1,46,907.6,47,938.4,46,862.9,47,1074.7,48,"2025-07-23T06:00"
21.9,16.41,13.9,10.91,27.51,27.51,43.57,43.08,43.47,43.49,43.45,43.56,43.49,43.46,43.52,43.51,43.48,43.46,43.49,43.42,43.63,43.6,43.57,43.54,41,39,36,17865,37,895.6,47,1062.3,47,788.5,46,1029.7,46,1007.4,47,821.2,45,876.3,46,749.3,46,1068.2,47,957.4,45,1074.7,46,1016.1,47,1061,46,1068.7,47,893.3,47,917.4,47,846.5,47,1071.5,48,"2025-07-23T06:30"
22.2,16.35,13.84,10.85,27.44,27.52,43.56,43.25,43.47,43.51,43.48,43.56,43.5,43.46,43.59,43.5,43.44,43.43,43.48,43.42,43.61,43.64,43.59,43.58,38,39,36,17146,36,822.9,49,1058.7,49,754.8,48,973.6,48,961.6,49,780.4,47,843.2,48,700.1,48,1069.6,49,913.4,48,1072.4,49,971.9,49,1009.6,49,1067.8,49,858.1,49,883.8,49,804.8,49,1066.9,50,"2025-07-23T06:45"
